		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110100010    2    5    6    4    3    2    3    4 10.752672 0.216111 SUCCESS 107
110100100    2    3    3    3    4    3    1    3  2.686448 0.952469 SUCCESS 108
110101000    1    4    1    0    2    1    1    4  8.114683 0.422349 SUCCESS 109
110101010    3    1    1    0    4    4    3    1  7.456013 0.488323 SUCCESS 110
110101100    2    2    1    0    1    1    2    2  5.384016 0.715853 SUCCESS 111
110110000    5    3    3    2    1    1    5    3  7.833341 0.449917 SUCCESS 112
110110010    1    1    2    1    2    4    1    1  5.509792 0.701955 SUCCESS 113
110110100    2    2    3    5    2    7    2    2 12.195788 0.142680 SUCCESS 114
110111000    5    4    0    2    3    1    4    4  9.528010 0.299727 SUCCESS 115
110111010    2    0    3    2    3    2    3    0  5.635568 0.687978 SUCCESS 116
110111100    2    0    0    5    3    3    2    0 10.719573 0.218100 SUCCESS 117
111000000    2    1    1    1    4    1    2    1  5.509792 0.701955 SUCCESS 118
111000010    2    2    1    2    1    1    2    2  2.967790 0.936363 SUCCESS 119
111000100    4    5    1    4    1    2    4    5 10.564008 0.227647 SUCCESS 120
111000110    1    1    0    2    4    2    1    1  7.141573 0.521438 SUCCESS 121
111001000    3    1    4    3    3    2    3    1  3.408006 0.906211 SUCCESS 122
111001010    3    1    1    3    6    1    3    1  9.276457 0.319514 SUCCESS 123
111001100    0    1    2    2    2    1    0    1  7.800242 0.453223 SUCCESS 124
111010000    3    3    6    5    3    1    3    3  9.779562 0.280840 SUCCESS 125
111010010    3    4    3    1    1    0    4    3  6.734455 0.565535 SUCCESS 126
111010100    1    5    2    0    3    3    1    5 10.186680 0.252167 SUCCESS 127
111010110    2    1    3    1    0    4    2    1  6.420015 0.600293 SUCCESS 128
111011000    6    3    4    1    2    3    6    3 13.231787 0.104120 SUCCESS 129
111011010    3    1    4    3    2    4    3    1  4.318229 0.827331 SUCCESS 130
111011100    4    3    0    3    0    3    4    3  7.644677 0.468925 SUCCESS 131
111100000    1    2    2    2    3    2    1    2  2.246232 0.972517 SUCCESS 132
