filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_static_outdoor_1.mat,35,0.05,2,1,0.663698271,0.330015715,0.056574123,0.142857143,0,0
../data/data_static_outdoor_1.mat,35,0.05,3,0.134142213,0.962387572,0.152902698,0.000817661,0.942857143,0,0
../data/data_static_outdoor_1.mat,35,0.05,4,0.061207204,0.940438871,0.202716823,0,0.857142857,0,0
../data/data_static_outdoor_1.mat,35,0.05,5,0.030494533,0.998668442,0.186418109,0,0.971428571,0,0
../data/data_static_outdoor_1.mat,35,0.05,6,0.038361393,0.996789727,0.171749599,0,0.942857143,0,0
../data/data_static_outdoor_1.mat,35,0.05,7,0.064004037,0.990583804,0.128060264,0,0.971428571,0,0
../data/data_static_outdoor_1.mat,35,0.05,8,0.055295828,0.94893617,0.142553191,0,0.685714286,0,0
../data/data_static_outdoor_1.mat,35,0.05,9,0.046922146,0.985257985,0.100737101,0,0.942857143,0,0
../data/data_static_outdoor_1.mat,35,0.05,10,0.043776407,0.997183099,0.090140845,0,0.971428571,0,0
,,,,,,,,,,
filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_static_outdoor_1.mat,35,0.07,2,1,0.608970976,0.261741425,0.062796834,0.142857143,0.028571429,0
../data/data_static_outdoor_1.mat,35,0.07,3,0.134142213,0.945768283,0.281018899,0.004930156,0.857142857,0,0
../data/data_static_outdoor_1.mat,35,0.07,4,0.061207204,0.996794872,0.278846154,0,0.914285714,0,0
../data/data_static_outdoor_1.mat,35,0.07,5,0.030494533,1,0.46521146,0,1,0.2,0
../data/data_static_outdoor_1.mat,35,0.07,6,0.038361393,1,0.387301587,0,1,0.085714286,0
../data/data_static_outdoor_1.mat,35,0.07,7,0.064004037,1,0.383018868,0,1,0.028571429,0
../data/data_static_outdoor_1.mat,35,0.07,8,0.055295828,1,0.270386266,0,1,0.028571429,0
../data/data_static_outdoor_1.mat,35,0.07,9,0.046922146,0.997619048,0.371428571,0,0.971428571,0.085714286,0
../data/data_static_outdoor_1.mat,35,0.07,10,0.043776407,1,0.465940054,0,1,0.142857143,0
,,,,,,,,,,
filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_static_outdoor_1.mat,35,0.06,2,1,0.585062241,0.296161826,0.056016598,0.142857143,0,0
../data/data_static_outdoor_1.mat,35,0.06,3,0.134142213,0.960194963,0.251015435,0.003249391,0.942857143,0.057142857,0
../data/data_static_outdoor_1.mat,35,0.06,4,0.061207204,0.974221267,0.213748657,0.001074114,0.885714286,0,0
../data/data_static_outdoor_1.mat,35,0.06,5,0.030494533,1,0.312242091,0,1,0.085714286,0
../data/data_static_outdoor_1.mat,35,0.06,6,0.038361393,0.998392283,0.241157556,0,0.971428571,0,0
../data/data_static_outdoor_1.mat,35,0.06,7,0.064004037,0.99034749,0.314671815,0,0.971428571,0.028571429,0
../data/data_static_outdoor_1.mat,35,0.06,8,0.055295828,0.98960499,0.172557173,0,0.857142857,0,0
../data/data_static_outdoor_1.mat,35,0.06,9,0.046922146,0.99270073,0.175182482,0,0.942857143,0,0
../data/data_static_outdoor_1.mat,35,0.06,10,0.043776407,1,0.255952381,0,1,0.028571429,0
,,,,,,,,,,
filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_static_indoor_1.mat,157,0.04,2,1,0.393232903,0.204925873,0.055834529,0.050955414,0,0
../data/data_static_indoor_1.mat,157,0.04,3,0.02866135,0.999819755,0.464491709,0.001261716,0.993630573,0.171974522,0
../data/data_static_indoor_1.mat,157,0.04,4,0.020957485,1,0.537356322,0.000239464,1,0.203821656,0
../data/data_static_indoor_1.mat,157,0.04,5,0.014193146,1,0.820048309,0,1,0.694267516,0
../data/data_static_indoor_1.mat,157,0.04,6,0.023070448,1,0.811625404,0,1,0.611464968,0
../data/data_static_indoor_1.mat,157,0.04,7,0.01996417,1,0.76558497,0,1,0.598726115,0
../data/data_static_indoor_1.mat,157,0.04,8,0.019450198,0.995359629,0.795359629,0,0.993630573,0.630573248,0
../data/data_static_indoor_1.mat,157,0.04,9,0.027246766,0.992888403,0.756017505,0,0.974522293,0.50955414,0
../data/data_static_indoor_1.mat,157,0.04,10,0.021177687,1,0.776157261,0,1,0.592356688,0
,,,,,,,,,,
filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../skyglow/Scenario2-Office-LoS/data3_upto5.mat,155,0.023,2,1,0.391171808,0.205462748,0.050847458,0.051612903,0,0
../skyglow/Scenario2-Office-LoS/data3_upto5.mat,155,0.023,3,0.02866135,0.994481236,0.69205298,0.000735835,0.948387097,0.548387097,0
../skyglow/Scenario2-Office-LoS/data3_upto5.mat,155,0.023,4,0.020957485,0.997605364,0.684386973,0,0.967741935,0.561290323,0
../skyglow/Scenario2-Office-LoS/data3_upto5.mat,155,0.023,5,0.014193146,1,0.705774519,0,1,0.587096774,0
../skyglow/Scenario2-Office-LoS/data3_upto5.mat,155,0.023,6,0.023070448,0.995248538,0.711988304,0,0.987096774,0.612903226,0
../skyglow/Scenario2-Office-LoS/data3_upto5.mat,155,0.023,7,0.01996417,0.999133449,0.673310225,0,0.987096774,0.587096774,0
../skyglow/Scenario2-Office-LoS/data3_upto5.mat,155,0.023,8,0.019450198,0.997150997,0.654795821,0,0.967741935,0.574193548,0
../skyglow/Scenario2-Office-LoS/data3_upto5.mat,155,0.023,9,0.027246766,0.994547437,0.670119956,0,0.987096774,0.593548387,0
