		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
010111011    4    1    1    1    2    4    2    0  7.330237 0.501457 SUCCESS  66
010111111    0    2    0    2    1    5    4    3  9.998015 0.265165 SUCCESS  67
011000111    3    1    1    1    1    2    4    3  4.851122 0.773363 SUCCESS  68
011001111    2    5    6    1    1    0    8    2 25.753135 0.001157 FAILURE  69
011010111    1    3    2    2    1    2    3    3  2.372008 0.967432 SUCCESS  70
011011111    0    2    3    4    2    2    2    4  5.039787 0.753315 SUCCESS  71
011101111    3    1    3    2    5    4    3    4  6.264449 0.617636 SUCCESS  72
011111111    1    3    2    5    3    3    2    3  4.381117 0.821206 SUCCESS  73
100000000    3    0    1    5    3    1    0    4 10.845349 0.210617 SUCCESS  74
100010000    1    3    3    2    1    3    2    1  3.156454 0.924159 SUCCESS  75
100100000    1    2    1    2    0    3    1    2  5.446904 0.708915 SUCCESS  76
100101000    0    0    4    2    3    2    0    2  8.899129 0.350877 SUCCESS  77
100110000    2    4    2    5    1    2    2    5  7.833341 0.449917 SUCCESS  78
100111000    4    2    0    3    2    1    2    2  4.851122 0.773363 SUCCESS  79
101000000    3    2    2    4    3    3    1    4  3.533783 0.896552 SUCCESS  80
101000100    1    3    3    2    4    3    2    5  5.291339 0.726032 SUCCESS  81
101001000    1    5    1    2    3    3    0    3  7.518901 0.481816 SUCCESS  82
101001100    2    5    1    4    4    0    1    4 10.249568 0.247945 SUCCESS  83
101010000    1    6    0    2    4    4    1    1 12.665794 0.123878 SUCCESS  84
101010100    2    3    3    2    3    1    4    1  3.345118 0.910872 SUCCESS  85
101011000    1    1    2    2    3    2    1    0  5.446904 0.708915 SUCCESS  86
101011100    2    1    3    5    3    2    3    1  5.102675 0.746548 SUCCESS  87
101100000    3    3    3    1    2    1    2    2  2.372008 0.967432 SUCCESS  88
101100100    2    0    3    3    1    2    4    2  4.914011 0.766726 SUCCESS  89
101101000    4    2    1    0    3    2    3    3  4.976899 0.760042 SUCCESS  90
101101100    5    1    3    4    0    3    3    0 10.123792 0.256445 SUCCESS  91
101110000    5    2    6    6    4    2    0    2 17.405569 0.026152 SUCCESS  92
101110100    0    3    3    4    2    5    2    1  7.644677 0.468925 SUCCESS  93
101111000    4    3    4    0    0    3    3    4  8.554899 0.381222 SUCCESS  94
101111100    1    5    6    3    2    2    1    2 10.312456 0.243777 SUCCESS  95
110000000    6    1    1    2    1    5    1    3 11.881348 0.156577 SUCCESS  96
110000010    2    3    4    0    2    1    2    5  7.581789 0.475349 SUCCESS  97
110000100    1    2    2    4    5    2    2    2  5.102675 0.746548 SUCCESS  98
110001000    4    1    2    1    1    4    5    1  8.429123 0.392713 SUCCESS  99
110001010    4    3    4    3    3    2    3    0  5.228451 0.732903 SUCCESS 100
110010000    1    2    3    3    2    2    4    2  2.497784 0.961834 SUCCESS 101
110010010    0    2    4    4    1    1    3    2  6.608679 0.579380 SUCCESS 102
110010100    0    2    2    1    2    2    1    2  4.599570 0.799391 SUCCESS 103
110011000    2    4    2    3    1    3    5    6 10.564008 0.227647 SUCCESS 104
110011010    2    2    1    2    3    1    0    2  4.662458 0.792968 SUCCESS 105
110100000    2    1    1    1    1    4    1    1  6.294238 0.614310 SUCCESS 106
110100010    0    3    2    1    1    3    2    5  7.456013 0.488323 SUCCESS 107
110100100    2    2    0    2    3    4    0    2  6.482903 0.593305 SUCCESS 108
110101000    2    4    0    0    9    3    1    3 25.564470 0.001246 FAILURE 109
110101010    2    2    4    2    2    2    4    1  3.345118 0.910872 SUCCESS 110
110101100    1    0    2    4    3    1    1    1  7.204461 0.514742 SUCCESS 111
110110000    2    2    3    2    3    4    2    1  2.497784 0.961834 SUCCESS 112
110110010    3    1    3    2    2    3    6    2  6.923119 0.544950 SUCCESS 113
110110100    2    3    0    1    3    0    1    0  9.557799 0.297443 SUCCESS 114
110111000    4    3    3    4    3    3    1    3  3.659559 0.886460 SUCCESS 115
110111010    1    3    3    3    2    5    4    4  6.264449 0.617636 SUCCESS 116
110111100    2    1    2    0    4    3    3    3  4.976899 0.760042 SUCCESS 117
111000000    4    2    1    3    1    3    1    3  4.129564 0.845248 SUCCESS 118
111000010    3    3    4    1    5    1    0    4  9.402234 0.309508 SUCCESS 119
111000100    5    1    3    2    1    2    4    2  5.950009 0.652832 SUCCESS 120
111000110    2    1    1    2    1    3    3    3  3.156454 0.924159 SUCCESS 121
111001000    4    2    4    4    4    3    8    2 17.657122 0.023949 SUCCESS 122
111001010    0    6    1    0    3    2    1    2 12.414242 0.133656 SUCCESS 123
111001100    0    2    2    4    2    1    6    3 10.186680 0.252167 SUCCESS 124
111010000    2    0    4    2    1    4    4    0  9.150681 0.329745 SUCCESS 125
111010010    3    2    2    4    4    3    3    4  3.722447 0.881257 SUCCESS 126
111010100    6    3    2    0    9    3    2    3 26.789133 0.000769 FAILURE 127
111010110    0    1    3    3    4    3    3    4  6.012897 0.645787 SUCCESS 128
111011000    3    2    2    2    2    5    2    3  3.470895 0.901437 SUCCESS 129
111011010    0    4    2    2    3    3    0    1  7.330237 0.501457 SUCCESS 130
111011100    4    5    3    4    2    4    2    4  7.300448 0.504591 SUCCESS 131
111100000    3    2    2    3    1    3    2    3  1.650450 0.989919 SUCCESS 132
111100010    3    1    5    0    1    4    4    1 10.123792 0.256445 SUCCESS 133
111100100    3    1    4    2    2    3    4    2  3.470895 0.901437 SUCCESS 134
111100110    3    0    0    4    2    2    5    2  9.213569 0.324601 SUCCESS 135
111101000    3    2    3    3    0    2    3    0  5.698457 0.680967 SUCCESS 136
