		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111011100    2    3    0    3    2    0    2    3  5.635568 0.687978 SUCCESS 131
111100000    1    5    5    1    3    2    5    3 10.501120 0.231599 SUCCESS 132
111100010    0    5    1    1    2    2    5    5 12.791570 0.119225 SUCCESS 133
111100100    2    1    2    5    2    2    4    3  5.165563 0.739743 SUCCESS 134
111100110    5    5    2    1    4    3    2    4  8.869340 0.353438 SUCCESS 135
111101000    5    1    4    1    2    6    2    3 11.285566 0.186038 SUCCESS 136
111101010    3    1    2    1    4    2    2    2  3.219342 0.919848 SUCCESS 137
111101100    5    2    3    2    1    5    2    0  9.339345 0.314483 SUCCESS 138
111101110    2    5    2    2    2    1    4    6 10.438232 0.235604 SUCCESS 139
111110000    2    3    6    3    2    1    2    1  7.644677 0.468925 SUCCESS 140
111110010    1    3    1    5    4    2    2    3  6.012897 0.645787 SUCCESS 141
111110100    5    1    3    1    2    1    7    1 15.333573 0.052975 SUCCESS 142
111110110    2    3    0    3    2    6    0    3 10.971126 0.203341 SUCCESS 143
111111000    2    4    3    4    3    3    4    1  4.506893 0.808743 SUCCESS 144
111111010    4    1    4    0    2    2    5    1  9.276457 0.319514 SUCCESS 145
111111100    4    0    3    8    2    2    3    1 18.001351 0.021216 SUCCESS 146
111111110    4    3    2    6    3    4    4    2  8.995116 0.342708 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    3    1    1    2    2    4    4    3  4.255341 0.833382 SUCCESS   0
000000011    4    1    4    3    0    2    3    4  6.860231 0.551785 SUCCESS   1
000000101    1    0    1    3    1    4    2    1  7.204461 0.514742 SUCCESS   2
000000111    6    1    4    3    1    3    3    5 11.411342 0.179463 SUCCESS   3
000001001    2    3    0    2    2    4    3    6  9.465122 0.304589 SUCCESS   4
