filename,times,segLen,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_static_indoor_1_r.mat,148,1,42472 / 42472 = 1.0,29751 / 44194 = 0.6731909309,20898 / 42472 = 0.4920418158,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,2,14974 / 14974 = 1.0,10865 / 14974 = 0.7255910244,7118 / 14838 = 0.4797142472,148 / 148 = 1.0,2 / 148 = 0.0135135135,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,4,5458 / 5458 = 1.0,4057 / 5458 = 0.7433125687,2625 / 5414 = 0.484854082,148 / 148 = 1.0,24 / 148 = 0.1621621622,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,8,1870 / 1870 = 1.0,1500 / 1876 = 0.7995735608,919 / 1876 = 0.4898720682,148 / 148 = 1.0,56 / 148 = 0.3783783784,3 / 148 = 0.0202702703
../data/data_static_indoor_1_r.mat,148,16,572 / 572 = 1.0,469 / 572 = 0.8199300699,291 / 572 = 0.5087412587,148 / 148 = 1.0,91 / 148 = 0.6148648649,26 / 148 = 0.1756756757
# (5),,,,,,,,
../data/data_static_indoor_1_r.mat,148,1,26575 / 26576 = 0.9999623721,21191 / 26576 = 0.7973735701,12939 / 26576 = 0.4868678507,147 / 148 = 0.9932432432,1 / 148 = 0.0067567568,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,2,9238 / 9238 = 1.0,7419 / 9438 = 0.7860775588,4488 / 9238 = 0.4858194414,148 / 148 = 1.0,13 / 148 = 0.0878378378,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,4,2776 / 2776 = 1.0,2379 / 2776 = 0.8569884726,1394 / 2914 = 0.4783802334,148 / 148 = 1.0,51 / 148 = 0.3445945946,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,8,788 / 788 = 1.0,647 / 788 = 0.8210659898,353 / 710 = 0.4971830986,148 / 148 = 1.0,69 / 148 = 0.4662162162,22 / 148 = 0.1486486486
../data/data_static_indoor_1_r.mat,148,16,148 / 148 = 1.0,113 / 148 = 0.7635135135,64 / 148 = 0.4324324324,148 / 148 = 1.0,113 / 148 = 0.7635135135,64 / 148 = 0.4324324324
# (2),,,,,,,,
../data/data_static_indoor_1_r.mat,148,1,80472 / 80512 = 0.9995031797,44927 / 80512 = 0.5580161963,40100 / 80512 = 0.4980624006,141 / 148 = 0.9527027027,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,2,33099 / 33100 = 0.9999697885,19769 / 33100 = 0.5972507553,16400 / 33100 = 0.4954682779,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,4,11168 / 11168 = 1.0,6566 / 11168 = 0.5879297994,5551 / 11168 = 0.4970451289,148 / 148 = 1.0,1 / 148 = 0.0067567568,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,8,2464 / 2464 = 1.0,1788 / 2464 = 0.7256493506,1147 / 2464 = 0.4655032468,148 / 148 = 1.0,20 / 148 = 0.1351351351,3 / 148 = 0.0202702703
../data/data_static_indoor_1_r.mat,148,16,692 / 692 = 1.0,543 / 692 = 0.7846820809,353 / 692 = 0.5101156069,148 / 148 = 1.0,62 / 148 = 0.4189189189,33 / 148 = 0.222972973
../data/data_static_indoor_1_r.mat,148,1,80473 / 80512 = 0.9995156002,44295 / 80512 = 0.5501664348,40317 / 80512 = 0.500757651,144 / 148 = 0.972972973,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,2,33012 / 33044 = 0.9990315942,19417 / 33044 = 0.5876104588,16351 / 33044 = 0.4948250817,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,4,11328 / 11330 = 0.9998234775,6549 / 11330 = 0.5780229479,5638 / 11330 = 0.4976169462,146 / 148 = 0.9864864865,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,8,2494 / 2494 = 1.0,1852 / 2494 = 0.7425821973,1156 / 2494 = 0.4635124298,148 / 148 = 1.0,18 / 148 = 0.1216216216,1 / 148 = 0.0067567568
../data/data_static_indoor_1_r.mat,148,16,680 / 680 = 1.0,539 / 680 = 0.7926470588,349 / 680 = 0.5132352941,148 / 148 = 1.0,57 / 148 = 0.3851351351,28 / 148 = 0.1891891892
# (2) mean,,,,,,,,
../data/data_static_indoor_1_r.mat,148,1,55051 / 59972 = 0.917945041,30595 / 59972 = 0.5101547389,29903 / 59972 = 0.4986160208,24 / 148 = 0.1621621622,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,2,22120 / 23526 = 0.9402363343,12325 / 23526 = 0.5238884638,11884 / 23526 = 0.5051432458,52 / 148 = 0.3513513514,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,4,8038 / 8414 = 0.9553125743,4626 / 8414 = 0.5497979558,4182 / 8414 = 0.4970287616,95 / 148 = 0.6418918919,1 / 148 = 0.0067567568,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,8,2310 / 2380 = 0.9705882353,1397 / 2380 = 0.5869747899,1178 / 2380 = 0.4949579832,120 / 148 = 0.8108108108,11 / 148 = 0.0743243243,2 / 148 = 0.0135135135
../data/data_static_indoor_1_r.mat,148,16,628 / 638 = 0.9843260188,383 / 638 = 0.6003134796,322 / 638 = 0.5047021944,139 / 148 = 0.9391891892,47 / 148 = 0.3175675676,26 / 148 = 0.1756756757
# (2) gauss,,,,,,,,
../data/data_static_indoor_1_r.mat,148,1,50462 / 59120 = 0.8535520974,30908 / 59120 = 0.5228010825,30266 / 59120 = 0.5119418133,26 / 148 = 0.1756756757,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,2,20650 / 23010 = 0.8974358974,12282 / 23010 = 0.533767927,11616 / 23010 = 0.5048239896,49 / 148 = 0.3310810811,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,4,7311 / 8096 = 0.9030385375,4487 / 8096 = 0.5542243083,4074 / 8096 = 0.5032114625,82 / 148 = 0.5540540541,0 / 148 = 0.0,2 / 148 = 0.0135135135
../data/data_static_indoor_1_r.mat,148,8,2370 / 2464 = 0.9618506494,1391 / 2464 = 0.5645292208,1227 / 2464 = 0.4979707792,105 / 148 = 0.7094594595,7 / 148 = 0.0472972973,6 / 148 = 0.0405405405
../data/data_static_indoor_1_r.mat,148,16,658 / 680 = 0.9676470588,395 / 680 = 0.5808823529,357 / 680 = 0.525,128 / 148 = 0.8648648649,41 / 148 = 0.277027027,31 / 148 = 0.2094594595
# (2),,,,,,,,
../data/data_static_indoor_1_r.mat,148,1,80497 / 80512 = 0.9998136924,44461 / 80512 = 0.5522282393,40327 / 80512 = 0.5008818561,144 / 148 = 0.972972973,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,2,32958 / 32996 = 0.9988483453,19006 / 32996 = 0.5760092132,16342 / 32996 = 0.4952721542,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
