../data/data_static_indoor_1_r_m.mat,741,13,19661 / 19669 = 0.9995932686,10502 / 19669 = 0.5339366516,10497 / 19669 = 0.5336824445,738 / 741 = 0.995951417,6 / 741 = 0.008097166,1 / 741 = 0.0013495277
../data/data_static_indoor_1_r_m.mat,741,14,19661 / 19675 = 0.9992884371,10557 / 19675 = 0.5365692503,10615 / 19675 = 0.5395171537,737 / 741 = 0.9946018893,3 / 741 = 0.004048583,6 / 741 = 0.008097166
../data/data_static_indoor_1_r_m.mat,741,15,6770 / 6774 = 0.9994095069,3496 / 6774 = 0.5160909359,3630 / 6774 = 0.5358724535,739 / 741 = 0.9973009447,63 / 741 = 0.0850202429,57 / 741 = 0.0769230769
,,,,,,,,
../data/data_static_indoor_1_r_m.mat,741,4,33093 / 33101 = 0.9997583155,18767 / 33101 = 0.5669617232,18990 / 33101 = 0.5736986798,737 / 741 = 0.9946018893,0 / 741 = 0.0,0 / 741 = 0.0
../data/data_static_indoor_1_r_m.mat,741,5,35477 / 35485 = 0.9997745526,19884 / 35485 = 0.5603494434,20136 / 35485 = 0.5674510356,739 / 741 = 0.9973009447,1 / 741 = 0.0013495277,0 / 741 = 0.0
../data/data_static_indoor_1_r_m.mat,741,6,37724 / 37734 = 0.999734987,21219 / 37734 = 0.5623310542,21184 / 37734 = 0.5614035088,737 / 741 = 0.9946018893,0 / 741 = 0.0,0 / 741 = 0.0
../data/data_static_indoor_1_r_m.mat,741,7,33956 / 33970 = 0.9995878717,19363 / 33970 = 0.5700029438,19522 / 33970 = 0.5746835443,736 / 741 = 0.9932523617,1 / 741 = 0.0013495277,2 / 741 = 0.0026990553
../data/data_static_indoor_1_r_m.mat,741,8,19256 / 19262 = 0.9996885059,10240 / 19262 = 0.5316166546,10492 / 19262 = 0.5446994082,738 / 741 = 0.995951417,0 / 741 = 0.0,3 / 741 = 0.004048583
../data/data_static_indoor_1_r_m.mat,741,9,18410 / 18416 = 0.9996741964,9945 / 18416 = 0.5400195482,10062 / 18416 = 0.5463727194,739 / 741 = 0.9973009447,4 / 741 = 0.0053981107,4 / 741 = 0.0053981107
