		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110101100    0    0    0    3    3    2    0    3 10.468021 0.233700 SUCCESS 111
110110000    1    3    2    2    2    4    2    2  2.434896 0.964698 SUCCESS 112
110110010    3    3    2    2    1    2    2    1  2.309120 0.970039 SUCCESS 113
110110100    3    3    3    0    4    2    3    0  6.671567 0.572447 SUCCESS 114
110111000    1    2    4    1    1    3    3    2  4.066676 0.851058 SUCCESS 115
110111010    2    2    3    2    0    2    2    3  3.156454 0.924159 SUCCESS 116
110111100    2    2    2    3    5    1    3    3  4.318229 0.827331 SUCCESS 117
111000000    1    1    2    4    2    2    2    4  4.129564 0.845248 SUCCESS 118
111000010    1    0    2    5    2    2    1    5 10.060903 0.260777 SUCCESS 119
111000100    4    1    4    2    5    1    3    3  6.986007 0.538143 SUCCESS 120
111000110    0    2    2    6    1    3    2    4 10.186680 0.252167 SUCCESS 121
111001000    1    0    1    1    0    1    1    1 10.153581 0.254412 SUCCESS 122
111001010    3    3    0    1    1    1    1    1  7.078684 0.528168 SUCCESS 123
111001100    1    3    2    1    2    1    3    1  3.878012 0.867958 SUCCESS 124
111010000    1    0    1    1    2    2    1    1  6.952908 0.541722 SUCCESS 125
111010010    2    2    3    4    5    2    2    5  7.111783 0.524622 SUCCESS 126
111010100    1    2    1    1    2    4    1    0  7.141573 0.521438 SUCCESS 127
111010110    3    4    4    2    5    3    1    5  8.932228 0.348045 SUCCESS 128
111011000    2    4    2    0    3    4    3    0  7.518901 0.481816 SUCCESS 129
111011010    2    2    3    1    4    3    2    1  3.282230 0.915418 SUCCESS 130
111011100    2    3    4    2    0    5    3    2  6.860231 0.551785 SUCCESS 131
111100000    2    2    2    4    2    2    2    3  1.650450 0.989919 SUCCESS 132
111100010    3    2    4    3    6    2    2    5  9.779562 0.280840 SUCCESS 133
111100100    0    1    1    2    1    2    1    2  6.168462 0.628368 SUCCESS 134
111100110    2    3    2    1    2    2    2    2  1.461786 0.993324 SUCCESS 135
111101000    2    1    3    3    5    1    3    3  5.165563 0.739743 SUCCESS 136
111101010    3    2    1    1    3    3    2    0  4.788234 0.779952 SUCCESS 137
111101100    1    4    3    0    2    3    3    0  7.393125 0.494871 SUCCESS 138
111101110    1    2    1    1    1    4    1    0  7.926019 0.440730 SUCCESS 139
111110000    3    2    3    6    1    3    3    5  9.716674 0.285477 SUCCESS 140
111110010    0    0    0    0    1    2    0    0 15.896255 0.043889 SUCCESS 141
111110100    3    1    4    1    1    1    4    1  6.545791 0.586333 SUCCESS 142
111110110    1    5    5    3    2    3    4    4  8.932228 0.348045 SUCCESS 143
111111000    3    1    3    3    2    4    2    3  2.623560 0.955720 SUCCESS 144
111111010    2    2    3    1    5    3    2    2  4.255341 0.833382 SUCCESS 145
111111100    0    0    0    2    0    3    0    1 13.542917 0.094485 SUCCESS 146
111111110    0    1    1    0    1    4    1    0 11.974025 0.152367 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
