		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.205078	M = 625	N = 8	m = 9	n = 5000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111000000    1    2    2    0    0    0    0    1  6.064175 0.640043 SUCCESS 118
111000010    2    0    1    1    2    0    5    2 16.341411 0.037746 SUCCESS 119
111000100    0    0    2    0    2    0    2    0  7.758843 0.457375 SUCCESS 120
111000110    0    1    2    1    1    2    2    1  2.979349 0.935647 SUCCESS 121
111001000    2    1    0    1    0    0    3    0  8.258638 0.408622 SUCCESS 122
111001010    2    1    1    2    1    2    0    1  2.979349 0.935647 SUCCESS 123
111001100    0    2    0    2    2    1    0    1  5.369096 0.717496 SUCCESS 124
111010000    1    2    2    1    0    1    0    1  3.674427 0.885239 SUCCESS 125
111010010    3    2    2    1    1    1    2    4 11.062122 0.198204 SUCCESS 126
111010100    0    1    0    0    3    1    3    1  9.258227 0.320983 SUCCESS 127
111010110    0    2    1    1    3    3    2    1  7.868069 0.446463 SUCCESS 128
111011000    3    1    1    2    1    1    1    1  3.479143 0.900802 SUCCESS 129
111011010    0    2    1    1    0    0    0    3  8.258638 0.408622 SUCCESS 130
111011100    3    0    2    0    1    0    4    0 14.842027 0.062291 SUCCESS 131
111100000    0    1    2    0    0    0    1    1  5.564380 0.695897 SUCCESS 132
111100010    1    0    1    0    1    1    1    0  3.869712 0.868683 SUCCESS 133
111100100    1    3    1    1    0    0    1    0  6.563969 0.584321 SUCCESS 134
111100110    0    0    1    1    1    2    1    5 15.341821 0.052830 SUCCESS 135
111101000    2    1    0    1    1    1    2    1  2.479554 0.962678 SUCCESS 136
111101010    1    2    0    0    2    0    2    1  5.369096 0.717496 SUCCESS 137
111101100    2    1    1    2    2    1    0    1  2.979349 0.935647 SUCCESS 138
111101110    1    0    2    1    1    2    3    1  5.173812 0.738848 SUCCESS 139
111110000    0    1    1    0    0    0    1    1  5.064585 0.750651 SUCCESS 140
111110010    1    2    1    2    0    1    1    0  3.674427 0.885239 SUCCESS 141
111110100    3    3    2    0    1    0    2    2  9.562738 0.297066 SUCCESS 142
111110110    1    1    2    0    1    0    0    1  4.369506 0.822342 SUCCESS 143
111111000    0    0    1    1    1    1    3    1  5.369096 0.717496 SUCCESS 144
111111010    2    2    1    0    0    0    1    2  5.369096 0.717496 SUCCESS 145
111111100    2    1    2    1    2    3    4    1 11.062122 0.198204 SUCCESS 146
111111110    2    0    2    1    1    1    3    1  5.173812 0.738848 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.205078	M = 625	N = 8	m = 9	n = 5000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    0    1    2    0    1    4    1 10.952895 0.204383 SUCCESS   0
000000011    0    0    2    0    1    2    3    3 10.257817 0.247395 SUCCESS   1
000000101    2    1    1    3    2    2    1    0  5.673606 0.683739 SUCCESS   2
000000111    1    1    1    1    2    2    4    3 10.562327 0.227752 SUCCESS   3
000001001    0    1    1    0    1    1    0    2  4.369506 0.822342 SUCCESS   4
000001011    2    3    1    3    2    2    0    2  8.867659 0.353583 SUCCESS   5
000001101    1    1    0    2    1    2    0    2  4.174222 0.841072 SUCCESS   6
000001111    1    0    2    2    4    2    2    2 10.562327 0.227752 SUCCESS   7
000010001    4    1    0    2    0    0    0    1 12.147769 0.144732 SUCCESS   8
000010011    0    1    0    0    0    1    1    1  5.064585 0.750651 SUCCESS   9
000010101    1    3    2    0    1    1    2    3  7.868069 0.446463 SUCCESS  10
000010111    1    4    2    2    1    5    0    1 21.230132 0.006561 FAILURE  11
000011001    1    0    2    0    0    2    1    1  4.869301 0.771450 SUCCESS  12
000011011    2    0    0    4    2    1    2    2 11.257406 0.187536 SUCCESS  13
000011101    1    2    2    1    3    2    2    2  5.478322 0.705440 SUCCESS  14
000011111    1    1    1    1    3    4    4    4 22.729516 0.003729 FAILURE  15
000100011    5    1    2    2    1    1    0    2 15.146537 0.056358 SUCCESS  16
000100101    1    0    2    0    1    0    2    3  7.563559 0.477220 SUCCESS  17
000100111    1    0    0    1    0    1    1    0  5.064585 0.750651 SUCCESS  18
000101001    4    0    5    2    3    0    3    0 28.508600 0.000387 FAILURE  19
000101011    2    1    3    0    2    1    1    2  5.673606 0.683739 SUCCESS  20
000101101    0    1    1    1    2    0    1    2  3.674427 0.885239 SUCCESS  21
000101111    0    2    4    5    3    3    3    0 30.007984 0.000211 FAILURE  22
000110011    2    0    0    1    1    2    0    0  6.064175 0.640043 SUCCESS  23
000110101    1    3    2    1    0    2    0    0  7.563559 0.477220 SUCCESS  24
000110111    0    1    1    3    1    1    2    3  7.368275 0.497469 SUCCESS  25
000111001    2    0    3    1    0    0    1    1  7.063764 0.529769 SUCCESS  26
000111011    1    1    2    1    0    2    2    2  3.479143 0.900802 SUCCESS  27
000111101    0    3    0    1    1    2    0    1  7.063764 0.529769 SUCCESS  28
000111111    2    0    0    3    0    2    1    3 10.257817 0.247395 SUCCESS  29
001000011    3    0    1    2    2    2    2    2  6.673196 0.572267 SUCCESS  30
001000101    0    1    0    2    0    0    0    1  6.759253 0.562816 SUCCESS  31
001000111    3    0    1    1    1    2    0    0  7.063764 0.529769 SUCCESS  32
001001011    1    1    1    0    2    0    1    3  5.868891 0.661915 SUCCESS  33
001001101    0    1    0    2    2    1    1    1  3.674427 0.885239 SUCCESS  34
001001111    2    1    0    0    0    0    1    0  6.759253 0.562816 SUCCESS  35
001010011    5    0    3    1    1    0    2    0 19.230953 0.013672 SUCCESS  36
001010101    3    2    2    5    0    4    1    2 24.424184 0.001945 FAILURE  37
001010111    1    1    0    0    1    1    1    3  5.369096 0.717496 SUCCESS  38
001011011    0    2    2    0    1    0    1    1  4.869301 0.771450 SUCCESS  39
001011101    3    3    0    1    0    3    0    0 13.147358 0.106879 SUCCESS  40
001011111    0    1    2    3    4    3    2    1 14.451459 0.070731 SUCCESS  41
001100101    1    0    3    0    0    0    2    1  8.258638 0.408622 SUCCESS  42
001100111    2    1    1    0    1    1    0    1  3.174633 0.922925 SUCCESS  43
001101011    1    3    2    1    0    2    0    0  7.563559 0.477220 SUCCESS  44
001101101    3    0    1    0    2    1    0    0  8.258638 0.408622 SUCCESS  45
