		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110101100    6    1    4    2    1    3    2    2  8.554899 0.381222 SUCCESS 111
110110000    0    2    3    0    1    3    4    1  8.114683 0.422349 SUCCESS 112
110110010    3    2    2    4    6    1    4    2  8.743564 0.364388 SUCCESS 113
110110100    1    3    2    2    1    6    4    2  8.554899 0.381222 SUCCESS 114
110111000    2    1    3    2    1    0    2    3  4.725346 0.786488 SUCCESS 115
110111010    1    4    2    2    4    6    0    2 11.096902 0.196269 SUCCESS 116
110111100    4    5    6    2    5    4    2    0 15.773789 0.045735 SUCCESS 117
111000000    3    4    2    1    1    2    2    3  3.282230 0.915418 SUCCESS 118
111000010    0    4    3    3    1    2    3    6 10.312456 0.243777 SUCCESS 119
111000100    2    4    1    1    1    1    1    3  5.572680 0.694975 SUCCESS 120
111000110    1    1    0    2    3    2    3    1  5.509792 0.701955 SUCCESS 121
111001000    3    4    2    6    4    2    2    1  8.743564 0.364388 SUCCESS 122
111001010    2    3    3    3    5    3    5    2  6.327337 0.610616 SUCCESS 123
111001100    1    2    4    1    0    3    1    2  6.420015 0.600293 SUCCESS 124
111010000    0    3    4    3    4    0    3    1  8.366235 0.398537 SUCCESS 125
111010010    4    2    3    5    3    3    3    2  4.569781 0.802412 SUCCESS 126
111010100    5    2    0    3    3    2    0    1  9.087793 0.334944 SUCCESS 127
111010110    6    1    3    3    2    4    0    7 19.037349 0.014661 SUCCESS 128
111011000    1    0    3    0    1    2    2    2  7.078684 0.528168 SUCCESS 129
111011010    3    1    2    2    2    5    4    3  5.228451 0.732903 SUCCESS 130
111011100    2    2    1    1    4    1    3    5  6.734455 0.565535 SUCCESS 131
111100000    2    1    2    3    2    2    4    2  2.434896 0.964698 SUCCESS 132
111100010    2    4    2    1    4    2    1    1  4.914011 0.766726 SUCCESS 133
111100100    5    4    4    7    2    3    2    2 14.142009 0.078138 SUCCESS 134
111100110    1    4    4    1    2    3    0    2  6.608679 0.579380 SUCCESS 135
111101000    3    4    3    2    2    1    4    2  3.470895 0.901437 SUCCESS 136
111101010    7    2    1    4    4    3    0    1 15.396461 0.051880 SUCCESS 137
111101100    1    1    4    4    3    1    4    2  5.950009 0.652832 SUCCESS 138
111101110    2    2    3    2    3    3    1    3  1.650450 0.989919 SUCCESS 139
111110000    1    1    4    4    2    2    1    5  7.644677 0.468925 SUCCESS 140
111110010    3    3    5    4    2    3    5    1  8.022006 0.431323 SUCCESS 141
111110100    2    2    2    1    1    1    5    1  6.482903 0.593305 SUCCESS 142
111110110    1    0    2    2    4    4    4    2  6.734455 0.565535 SUCCESS 143
111111000    2    2    3    3    1    1    1    1  3.878012 0.867958 SUCCESS 144
